Cultivo;Campaña;Provincia;Departamento;idProvincia;idDepartamento;"Sup. Sembrada";"Sup. Cosechada";Producción;Rendimiento
"Trigo total";2000/01;"BUENOS AIRES";"25 DE MAYO";6;854;32000;30800;89000;2890
"Trigo total";2001/02;"BUENOS AIRES";"25 DE MAYO";6;854;16000;13600;23200;1706
"Trigo total";2002/03;"BUENOS AIRES";"25 DE MAYO";6;854;12000;11830;23660;2000
"Trigo total";2003/04;"BUENOS AIRES";"25 DE MAYO";6;854;13680;12480;48670;3900
"Trigo total";2004/05;"BUENOS AIRES";"25 DE MAYO";6;854;16500;16350;67040;4100
"Trigo total";2005/06;"BUENOS AIRES";"25 DE MAYO";6;854;17800;17800;80100;4500
"Trigo total";2006/07;"BUENOS AIRES";"25 DE MAYO";6;854;23000;23000;103500;4500
"Trigo total";2007/08;"BUENOS AIRES";"25 DE MAYO";6;854;26000;25150;90540;3600
"Trigo total";2008/09;"BUENOS AIRES";"25 DE MAYO";6;854;22000;22000;79200;3600
"Trigo total";2009/10;"BUENOS AIRES";"25 DE MAYO";6;854;15320;15320;11280;736
"Trigo total";2010/11;"BUENOS AIRES";"25 DE MAYO";6;854;19000;19000;86330;4544
"Trigo total";2011/12;"BUENOS AIRES";"25 DE MAYO";6;854;21000;21000;98700;4700
"Trigo total";2012/13;"BUENOS AIRES";"25 DE MAYO";6;854;15000;12000;33600;2800
"Trigo total";2013/14;"BUENOS AIRES";"25 DE MAYO";6;854;11000;11000;42900;3900
"Trigo total";2014/15;"BUENOS AIRES";"25 DE MAYO";6;854;26160;25910;95870;3700
"Trigo total";2015/16;"BUENOS AIRES";"25 DE MAYO";6;854;14100;6200;18600;3000
"Trigo total";2016/17;"BUENOS AIRES";"25 DE MAYO";6;854;47900;43060;159322;3700
"Trigo total";2017/18;"BUENOS AIRES";"25 DE MAYO";6;854;37720;37340;147493;3950
"Trigo total";2018/19;"BUENOS AIRES";"25 DE MAYO";6;854;43586;40986;151648;3700
"Trigo total";2019/20;"BUENOS AIRES";"25 DE MAYO";6;854;42080;41238;152962;3709
"Trigo total";2020/21;"BUENOS AIRES";"25 DE MAYO";6;854;50223;49119;191542;3900
"Trigo total";2021/22;"BUENOS AIRES";"25 DE MAYO";6;854;55600;55030;220074;3999
"Trigo total";2022/23;"BUENOS AIRES";"25 DE MAYO";6;854;62732;62094;201377;3243
"Trigo total";2023/24;"BUENOS AIRES";"25 DE MAYO";6;854;50252;49739;192112;3862
"Trigo total";2024/25;"BUENOS AIRES";"25 DE MAYO";6;854;53032;52491;205250;3910
"Trigo total";2000/01;"BUENOS AIRES";"9 DE JULIO";6;588;25000;25000;62500;2500
"Trigo total";2001/02;"BUENOS AIRES";"9 DE JULIO";6;588;10000;9500;21000;2211
"Trigo total";2002/03;"BUENOS AIRES";"9 DE JULIO";6;588;15000;15000;30000;2000
"Trigo total";2003/04;"BUENOS AIRES";"9 DE JULIO";6;588;13000;11800;35400;3000
"Trigo total";2004/05;"BUENOS AIRES";"9 DE JULIO";6;588;24000;24000;100800;4200
"Trigo total";2005/06;"BUENOS AIRES";"9 DE JULIO";6;588;23000;23000;92000;4000
"Trigo total";2006/07;"BUENOS AIRES";"9 DE JULIO";6;588;27000;27000;108000;4000
"Trigo total";2007/08;"BUENOS AIRES";"9 DE JULIO";6;588;26500;26500;84800;3200
"Trigo total";2008/09;"BUENOS AIRES";"9 DE JULIO";6;588;20000;20000;50000;2500
"Trigo total";2009/10;"BUENOS AIRES";"9 DE JULIO";6;588;13460;13460;44170;3282
"Trigo total";2010/11;"BUENOS AIRES";"9 DE JULIO";6;588;20000;20000;113600;5680
"Trigo total";2011/12;"BUENOS AIRES";"9 DE JULIO";6;588;13000;13000;65000;5000
"Trigo total";2012/13;"BUENOS AIRES";"9 DE JULIO";6;588;6170;5670;17010;3000
"Trigo total";2013/14;"BUENOS AIRES";"9 DE JULIO";6;588;8000;8000;38400;4800
"Trigo total";2014/15;"BUENOS AIRES";"9 DE JULIO";6;588;13000;12350;50640;4100
"Trigo total";2015/16;"BUENOS AIRES";"9 DE JULIO";6;588;8000;7200;28800;4000
"Trigo total";2016/17;"BUENOS AIRES";"9 DE JULIO";6;588;57500;51690;217098;4200
